review_id,review_name,time,text,product_id
359dde14-561e-46f4-bf4f-f9f1ffd9ab63,Hamza,2 weeks ago,original set and PTA approved set hai. boht hi aala mobile hai mat forest green color hai. actual price of mobile was Rs.45000 but I ordered during daraz #11.11 sale and I got in  Rs.42000 by availing two discount vouchers. daraz ny mobile buy karny ki bhi tension dur kar di hai ghar bethy original mobile wo bhi market sey low price mein. Thanks daraz.pk,434216463
9d373ad7-2ef1-4e7d-8e6a-83f495787b23,Raza A.,2 weeks ago,#11.11 jitni tareef kru utni kam hy mashallah AJ tak ka sab se behtareen or aala qism ka mobile hy Meri review hy 10/10 mashallah so happy 😊😊,434216463
e1341104-f3e7-4016-98f4-4ff448fef160,Barkat A.,1 week ago,Product quality is amazing and reached safe at doorstep. Seller is really cooperative and friendly in communication. Recieved product as it is reflected on Daraz. Original product. 100% Gebuin. However around Rs.2000 costly than physical market. Prices should be aligned to the market rate to eradicate price manipulation. Overall satisfied with product quality but not satisfied with delivery and product price.,434216463
f9541f78-f431-40a1-b894-eb5f1029d177,aamir B.,1 week ago,Tecno Spark 10 Pro 💯% original mobile PTA approved sealed pack box pack with all accessories. thank and love u daraz and seller 🥰🌹👍,436994487
d1a49d46-98e5-4899-abee-0b5369172a4b,Muhammad Z.,7 days ago,Excellent 👍 Pin pack device with mega discount in #11.11 #11.11 seller is honest Daraz has become a life patner. Thanks Daraz. Thanks Tecno Pakistan.,436994487
79befbd7-97e7-4257-9116-d3e97fc5b81f,A***.,2 weeks ago,Mobil is little bit slow camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications,436994487
dc08fb59-803d-4f9f-ae1f-580450c13a4b,3***8,3 months ago,Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.,430451931
0cbb87e1-dcd3-4c42-a3d8-af76005643b9,3***1,4 months ago,achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai,430451931
02d3f191-50a7-437d-9316-140c2c157d7a,Haseeb A.,2 months ago,mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho,430451931
04d23a3b-0886-45b4-a969-6476e126d333,Gohar I.,4 months ago,this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.,429185340
5739ca3e-90d8-44c5-8bd7-56942dba1d7c,Yasir Q.,2 months ago,Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓,429185340
3f621ffb-aef0-4af4-a918-58385f5e1481,3***4,3 months ago,Camera satisfactory nh ha Baki mobile ok ha,429185340
9043da33-6fb2-4d6d-bc40-cb7fe0277db3,Asif B.,7 months ago,phone is damaged from edges pictures uploaded,421521093
e62e663f-cf20-4173-94bc-bc1937fdd24b,M F.,7 months ago,Same As Described original product found in reasonable price than Market,421521093
69a40d64-7f6d-4f57-883b-119af67ab4cb,hasham A.,2 weeks ago,#11.11 I order redmi note 12 but when I open the parcel I recieved redmi 12c that's ram 4 Gb and ROM 128 Gb while I order redmi note 12 that's ram 8 Gb and ROM 128 Gb not delivered the same mobile that I order why you send me 12c instead of note 12 very disappointed shopping with daraz this time you must checked what you sent,421521093
4f5035d9-e0a1-4a00-9e9f-08c320ce48e4,Raz M.,1 week ago,Mashallah 11.11 SaleReceived safe packed PTA approvedDilivered in time response excellent Great Quality Satisfied original item received thanks seller and Daraz 👍👍😁😊,438355041
f06bcb94-70e5-4cdc-86cb-6de3a25f6b19,Muhammad Y.,1 week ago,Quality is good. Original product. Non activated,438355041
8d554aca-a483-45f5-b59c-a12c12f3bd8f,AC R.,2 weeks ago,# 11.11 brand new. pin packed. good quality. got in 20000/- only.  made in Pakistan. Seller Recommended.,438355041
a24b52d5-6aa5-46b7-87bf-7a51765d0725,Muhammad U.,1 week ago,Amazing phone within the discounted price of #11.11  I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11,421054632
0d813080-43cf-4f54-b9fb-95731ad32596,bilal K.,7 days ago,i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍,421054632
74133b6d-8ecf-4647-90b9-a93e5093911b,Muhammad U.,2 months ago,Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product Original and value for Money.,421054632
ee4048cc-c6f9-4033-9c2f-56dded3d063b,Noman A.,2 months ago,Reciceved it in 3 days good mobile original no damage to the product original charger was also in the boxRecommended Seller,432849791
cc9a0ee1-0360-44b7-af0c-066169696213,Muneeb R.,1 month ago,UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING .OVERALL 10/10 THANK YOU TO DARAZ PLATFORM,432849791
3a862413-6968-4393-99b1-605492dd6775,Aziz U.,2 weeks ago,Product is original and as per details given. Delivered well before the committed time. Good presentable packaging delivery is safe and sound.recommended the saller.,432849791
b893ca3a-dcd5-4994-9a5b-74a96c275714,Mohammad N.,5 months ago,very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku,423781498
93a39257-c923-4257-a368-537bd137feb3,Shahid B.,4 weeks ago,thank you Daraz. kam price m achi chiz. saller bht acha h. mobile bht acha h. jaisa dikha waisa paya,423781498
