product_id,name,price,score,image_url,product_url
436839264,Samsung A14 4GB/64GB - 5000 mAh Battery - 6.6' Display - Android 13,34999,8.8,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/samsung-a14-4gb64gb-5000-mah-battery-66-display-android-13-i436839264-s2101404094.html?search=1
436801398,Realme Narzo 50A Prime (4GB-128GB) PTA Approved With Official 1 Year Warranty,32999,8.4,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/realme-narzo-50a-prime-4gb-128gb-pta-approved-with-official-1-year-warranty-i436801398-s2101274808.html?search=1
421074981,Redmi Note 12 (8GB-128GB) PTA Approved With Official 1 Year Warranty,51999,9.4,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/redmi-note-12-8gb-128gb-pta-approved-with-official-1-year-warranty-i421074981-s1988370279.html?search=1
430685852,Redmi A2+ 3GB - 64GB 5000mAh 10W fast charging 6.52” HD+ Dot Drop display PTA  Approved  system active,19499,9.4,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/redmi-a2-3gb-64gb-5000mah-10w-fast-charging-652-hd-dot-drop-display-pta-approved-system-active-i430685852-s2054176513.html?search=1
436821010,Infinix Note 30 Pro 8-256 GB PTA Approved With Official 1 Year Warranty,64499,9.4,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/infinix-note-30-pro-8-256-gb-pta-approved-with-official-1-year-warranty-i436821010-s2101334479.html?search=1
434216463,vivo Y17s - 6GB RAM - 128GB ROM - 5000mAh Battery - 50+2 MP Camera - Helio G85 Processor,44999,9.6,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/vivo-y17s-6gb-ram-128gb-rom-5000mah-battery-502-mp-camera-helio-g85-processor-i434216463-s2082615909.html?search=1
436994487,Tecno SPARK 10 PRO 8GB RAM - 256GB ROM PTA APPROVED OFFICIAL BRAND WARRANTY,38450,9.0,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/tecno-spark-10-pro-8gb-ram-256gb-rom-pta-approved-official-brand-warranty-i436994487-s2101829511.html?search=1
430451931,Redmi A2+ - 3GB/64GB - Mediatek Helio G36 - Android 12- 5000 mAh Battery,19399,9.4,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/redmi-a2-3gb64gb-mediatek-helio-g36-android-12-5000-mah-battery-i430451931-s2051820850.html?search=1
429185340,Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,49999,9.4,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/redmi-note-12-8-gb-ram-128gb-rom-pta-approved-mobile-phone-with-1-year-brand-warranty-i429185340-s2040915791.html?search=1
421521093,Redmi note 12 8GB RAM -128GB ROM PTA APPROVED OFFICIAL WARRANTY  SUPER FAST CHARGING,50499,6.4,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/redmi-note-12-8gb-ram-128gb-rom-pta-approved-official-warranty-super-fast-charging-i421521093-s1991845039.html?search=1
436820987,Infinix Note 30 8GB/128GB - Android 13 - 6.78 Display - 5000 mAh Battery,43499,8.6,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/infinix-note-30-8gb128gb-android-13-678-display-5000-mah-battery-i436820987-s2101357944.html?search=1
427414634,Samsung Galaxy A24 8GB+128GB,72999,9.2,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/samsung-galaxy-a24-8gb128gb-i427414634-s2030038838.html?search=1
438355041,Samsung Galaxy A04 4GB - 64GB OFFICIAL PTA APPROVED OFFICIAL WARRANTY,29999,9.2,https://static-01.daraz.pk/p/82f8db3690c76b2d433046b37ed9ba4e.jpg_300x0q75.webp,https://www.daraz.pk/products/samsung-galaxy-a04-4gb-64gb-official-pta-approved-official-warranty-i438355041-s2122292352.html?search=1
